mode,a,b,op,true_result,pred_result,correct,sign_correct,thousands_correct,hundreds_correct,tens_correct,units_correct,has_carry_or_borrow,n_carries_or_borrows,operand_length
forward,729,436,-,293,293,True,True,True,True,True,True,True,1,3
forward,837,568,+,1405,1405,True,True,True,True,True,True,True,3,3
forward,485,813,-,-328,-328,True,True,True,True,True,True,False,0,3
forward,283,605,-,-322,-323,False,True,True,True,True,False,True,1,3
forward,712,565,-,147,147,True,True,True,True,True,True,True,2,3
forward,356,659,+,1015,1015,True,True,True,True,True,True,True,3,3
forward,633,30,-,603,603,True,True,True,True,True,True,False,0,3
forward,859,691,-,168,168,True,True,True,True,True,True,True,1,3
forward,933,752,+,1685,1685,True,True,True,True,True,True,True,1,3
forward,579,246,-,333,333,True,True,True,True,True,True,False,0,3
forward,572,253,+,825,825,True,True,True,True,True,True,True,1,3
forward,120,273,-,-153,-153,True,True,True,True,True,True,True,2,3
forward,313,437,-,-124,-124,True,True,True,True,True,True,True,2,3
forward,786,631,-,155,155,True,True,True,True,True,True,False,0,3
forward,442,948,+,1390,1390,True,True,True,True,True,True,True,2,3
forward,733,628,+,1361,1361,True,True,True,True,True,True,True,2,3
forward,550,986,+,1536,1536,True,True,True,True,True,True,True,2,3
forward,130,823,+,953,953,True,True,True,True,True,True,False,0,3
forward,823,792,+,1615,1615,True,True,True,True,True,True,True,2,3
forward,129,198,+,327,327,True,True,True,True,True,True,True,2,3
forward,918,285,+,1203,1203,True,True,True,True,True,True,True,3,3
forward,140,201,+,341,341,True,True,True,True,True,True,False,0,3
forward,933,727,-,206,206,True,True,True,True,True,True,True,1,3
forward,477,369,-,108,108,True,True,True,True,True,True,True,1,3
forward,692,324,-,368,368,True,True,True,True,True,True,True,1,3
forward,325,701,-,-376,-376,True,True,True,True,True,True,False,0,3
forward,38,603,-,-565,-565,True,True,True,True,True,True,False,0,3
forward,878,65,+,943,943,True,True,True,True,True,True,True,2,3
forward,858,423,+,1281,1281,True,True,True,True,True,True,True,2,3
forward,612,205,-,407,407,True,True,True,True,True,True,True,1,3
forward,472,576,-,-104,-104,True,True,True,True,True,True,True,2,3
forward,952,11,-,941,941,True,True,True,True,True,True,False,0,3
forward,628,106,+,734,734,True,True,True,True,True,True,True,1,3
forward,431,589,+,1020,1020,True,True,True,True,True,True,True,3,3
forward,399,161,-,238,238,True,True,True,True,True,True,False,0,3
forward,682,308,+,990,990,True,True,True,True,True,True,True,1,3
forward,368,967,+,1335,1335,True,True,True,True,True,True,True,3,3
forward,384,495,-,-111,-111,True,True,True,True,True,True,True,2,3
forward,166,458,+,624,624,True,True,True,True,True,True,True,2,3
forward,353,679,-,-326,-326,True,True,True,True,True,True,True,2,3
forward,437,804,-,-367,-367,True,True,True,True,True,True,False,0,3
forward,346,825,-,-479,-479,True,True,True,True,True,True,False,0,3
forward,821,837,-,-16,-16,True,True,True,True,True,True,True,1,3
forward,438,642,-,-204,-204,True,True,True,True,True,True,True,1,3
forward,509,612,+,1121,1121,True,True,True,True,True,True,True,2,3
forward,695,319,-,376,376,True,True,True,True,True,True,True,1,3
forward,48,362,+,410,410,True,True,True,True,True,True,True,2,3
forward,741,711,-,30,30,True,True,True,True,True,True,False,0,3
forward,269,139,+,408,408,True,True,True,True,True,True,True,2,3
forward,242,612,-,-370,-370,True,True,True,True,True,True,False,0,3
forward,655,830,-,-175,-175,True,True,True,True,True,True,False,0,3
forward,629,428,-,201,201,True,True,True,True,True,True,False,0,3
